Ticker,Precio,Tendencia,RSI14,Ret3M %,Ret6M %,Vol20 anual %,Score rápido,Señal rápida
NRGD,26.33,BAJISTA,33.11,-65.3,-68.39,79.49,-8,DESFAVORABLE
MYY,16.89,NEUTRA_BAJISTA,48.07,-1.81,-3.06,20.62,-3,DESFAVORABLE
RWM,15.96,NEUTRA_BAJISTA,48.14,-1.21,-2.75,23.99,-3,DESFAVORABLE
DRV,23.32,NEUTRA_BAJISTA,45.7,-11.2,-2.01,50.68,-3,DESFAVORABLE
EPHE,24.79,NEUTRA_BAJISTA,45.37,-2.02,-0.91,24.36,-3,DESFAVORABLE
DULL,52.71,NEUTRA_BAJISTA,50.61,-36.49,-58.33,107.86,-2,DESFAVORABLE
ETHE,17.45,NEUTRA_BAJISTA,50.79,-31.41,-52.61,58.98,-2,DESFAVORABLE
QETH,21.34,NEUTRA_BAJISTA,50.79,-31.29,-52.44,58.63,-2,DESFAVORABLE
ETHW,15.34,NEUTRA_BAJISTA,50.78,-31.33,-52.43,58.5,-2,DESFAVORABLE
ETHA,16.2,NEUTRA_BAJISTA,50.87,-31.3,-52.42,58.71,-2,DESFAVORABLE
ETHV,31.35,NEUTRA_BAJISTA,50.8,-31.33,-52.41,58.86,-2,DESFAVORABLE
FETH,21.38,NEUTRA_BAJISTA,50.86,-31.3,-52.4,59.07,-2,DESFAVORABLE
CETH,10.7,NEUTRA_BAJISTA,50.87,-31.11,-52.27,58.93,-2,DESFAVORABLE
ETH,20.34,NEUTRA_BAJISTA,50.99,-30.98,-52.01,58.74,-2,DESFAVORABLE
BNKD,51.36,NEUTRA_BAJISTA,40.92,5.91,-29.73,61.69,-2,DESFAVORABLE
UVIX,7.86,NEUTRA_BAJISTA,48.33,43.69,-22.26,183.95,-2,DESFAVORABLE
OEUR,31.73,NEUTRA_BAJISTA,44.74,-4.32,-3.07,24.88,-3,DESFAVORABLE
PLTR,147.93,MIXTA,48.98,-11.87,-20.91,48.99,-2,DESFAVORABLE
EFZ,12.39,NEUTRA_BAJISTA,47.67,-1.35,-4.44,25.45,-3,DESFAVORABLE
FLGR,31.77,NEUTRA_BAJISTA,49.01,-5.4,-5.02,27.8,-3,DESFAVORABLE
MAGX,43.33,MIXTA,43.21,-22.35,-21.73,58.09,-3,DESFAVORABLE
SPYU,21.84,MIXTA,45.01,-20.83,-20.86,73.02,-3,DESFAVORABLE
QQQU,43.08,MIXTA,43.4,-21.93,-20.34,57.77,-3,DESFAVORABLE
SKRE,8.22,NEUTRA_BAJISTA,40.5,-8.8,-19.47,32.91,-3,DESFAVORABLE
DGZ,4.9,NEUTRA_BAJISTA,47.25,-12.43,-18.68,53.43,-3,DESFAVORABLE
ACN,198.95,NEUTRA_BAJISTA,44.45,-23.47,-18.58,33.45,-3,DESFAVORABLE
BJK,35.32,NEUTRA_BAJISTA,49.51,-13.66,-18.02,25.51,-3,DESFAVORABLE
NVAX,7.97,MIXTA,35.67,11.78,-16.54,55.91,-3,DESFAVORABLE
SMIN,61.52,NEUTRA_BAJISTA,48.4,-12.13,-13.28,28.82,-3,DESFAVORABLE
NXPI,197.08,NEUTRA_BAJISTA,44.9,-10.47,-12.61,30.97,-3,DESFAVORABLE
SMHB,3.64,NEUTRA_BAJISTA,46.88,-5.14,-12.51,48.48,-3,DESFAVORABLE
NRG,149.8,NEUTRA_BAJISTA,45.91,-9.56,-9.95,53.19,-3,DESFAVORABLE
DHR,192.12,NEUTRA_BAJISTA,46.23,-16.44,-8.34,29.6,-3,DESFAVORABLE
PHO,67.76,NEUTRA_BAJISTA,47.27,-4.24,-6.49,17.27,-3,DESFAVORABLE
EWG,40.21,NEUTRA_BAJISTA,48.69,-5.52,-5.32,28.12,-3,DESFAVORABLE
SBB,13.0,NEUTRA_BAJISTA,45.94,-3.21,-4.55,20.68,-3,DESFAVORABLE
AMZZ,25.55,NEUTRA_BAJISTA,51.5,-15.63,-16.27,56.53,-2,DESFAVORABLE
MCHI,55.83,MIXTA,41.64,-10.3,-15.64,23.18,-2,DESFAVORABLE
FLCH,22.31,MIXTA,41.0,-9.53,-14.17,22.35,-2,DESFAVORABLE
QQQ,588.5,MIXTA,48.97,-3.89,-2.6,22.29,-2,DESFAVORABLE
USXF,56.2,MIXTA,49.63,-2.97,-2.33,22.48,-2,DESFAVORABLE
QAT,18.64,MIXTA,47.54,-0.98,-2.13,17.97,-2,DESFAVORABLE
TTAI,29.9,MIXTA,47.17,-4.9,-2.06,27.67,-2,DESFAVORABLE
VNM,17.15,MIXTA,46.68,-10.26,-1.91,30.28,-2,DESFAVORABLE
NTSX,52.74,MIXTA,48.38,-3.55,-1.86,21.42,-2,DESFAVORABLE
USSG,60.45,MIXTA,47.13,-4.92,-1.73,19.54,-2,DESFAVORABLE
ESGU,143.52,MIXTA,49.24,-3.55,-1.44,18.81,-2,DESFAVORABLE
SUSA,134.05,MIXTA,48.58,-3.78,-1.32,18.13,-2,DESFAVORABLE
SPY,658.93,MIXTA,48.53,-3.28,-0.98,18.34,-2,DESFAVORABLE
VOO,605.67,MIXTA,48.49,-3.3,-0.97,18.27,-2,DESFAVORABLE
IVV,661.86,MIXTA,48.48,-3.29,-0.97,18.28,-2,DESFAVORABLE
SPLG,77.19,MIXTA,46.41,-3.54,-0.93,18.63,-2,DESFAVORABLE
EWUS,40.34,MIXTA,47.72,-3.6,-0.43,26.86,-2,DESFAVORABLE
CURE,90.93,MIXTA,39.77,-19.26,0.85,46.1,-2,DESFAVORABLE
UAE,18.37,MIXTA,45.06,-4.4,-2.78,43.79,-2,DESFAVORABLE
NVD,7.29,NEUTRA_BAJISTA,48.47,4.44,-3.52,71.4,-2,DESFAVORABLE
ESGV,113.99,MIXTA,48.29,-5.58,-3.85,21.13,-2,DESFAVORABLE
USML,40.89,MIXTA,46.01,-1.38,-4.27,21.65,-2,DESFAVORABLE
TECH,53.8,MIXTA,49.25,-9.69,-13.12,37.0,-2,DESFAVORABLE
ARKG,27.26,MIXTA,49.83,-6.58,-8.55,46.11,-2,DESFAVORABLE
VUG,444.08,MIXTA,47.24,-8.56,-7.92,24.67,-2,DESFAVORABLE
BOTZ,33.59,MIXTA,41.38,-8.5,-7.09,31.03,-2,DESFAVORABLE
PFFL,7.86,MIXTA,45.83,-3.74,-7.0,24.05,-2,DESFAVORABLE
BERZ,61.62,NEUTRA_BAJISTA,47.15,8.87,-6.92,98.65,-2,DESFAVORABLE
TMO,488.19,MIXTA,46.01,-17.52,-6.84,28.69,-2,DESFAVORABLE
SVIX,16.47,MIXTA,45.18,-33.24,-22.13,89.44,-3,DESFAVORABLE
AVGO,314.43,MIXTA,47.38,-9.36,-6.65,41.02,-2,DESFAVORABLE
IYW,186.55,MIXTA,49.96,-6.64,-5.95,28.3,-2,DESFAVORABLE
NVDA,177.64,MIXTA,49.37,-5.93,-5.95,35.08,-2,DESFAVORABLE
SSO,53.22,MIXTA,47.31,-8.2,-5.52,36.59,-2,DESFAVORABLE
SPUU,169.6,MIXTA,47.48,-8.14,-5.32,36.74,-2,DESFAVORABLE
SPYG,99.69,MIXTA,47.65,-6.49,-4.92,25.15,-2,DESFAVORABLE
TYD,24.44,MIXTA,43.27,-3.22,-4.87,19.71,-2,DESFAVORABLE
QULL,53.25,MIXTA,46.44,-6.22,-4.28,38.5,-2,DESFAVORABLE
ZIVB,8.45,MIXTA,45.46,-10.01,-5.98,32.58,-2,DESFAVORABLE
TECL,93.8,MIXTA,48.32,-20.53,-23.26,82.26,-3,DESFAVORABLE
SPXL,191.98,MIXTA,46.53,-13.18,-10.31,54.92,-2,DESFAVORABLE
RETL,7.74,MIXTA,48.84,-17.56,-24.53,60.14,-3,DESFAVORABLE
FNGU,16.85,BAJISTA,45.43,-30.17,-42.73,82.68,-6,DESFAVORABLE
WANT,36.2,BAJISTA,41.79,-25.82,-31.58,75.74,-6,DESFAVORABLE
AIBU,37.89,BAJISTA,47.22,-23.61,-30.77,62.29,-6,DESFAVORABLE
