Ticker,Precio,Tendencia,RSI14,Mejor ARIMA,AIC,BIC,Vol GARCH d1 %,Precio esperado 30d,P5,P25,P50,P75,P95,Prob subir %,Ret esp %,VaR 5% 30d,CVaR 5% 30d,Ancho P25-P75,Ancho P5-P95,Score final,Señal final
TBF,24.2,ALCISTA,53.46,"(2, 0, 0)",-6696.94,-6677.09,0.6814,24.83,23.41,24.2,24.8,25.42,26.33,74.93,2.59,-3.25,-4.65,1.22,2.92,5,FAVORABLE
FDL,50.46,ALCISTA,59.56,"(1, 0, 0)",-6862.79,-6847.9,0.7552,51.98,48.05,50.39,51.98,53.53,55.89,73.93,3.02,-4.78,-6.51,3.15,7.85,5,FAVORABLE
MO,66.55,ALCISTA,57.09,"(1, 0, 1)",-6180.95,-6161.1,1.2617,69.28,62.21,66.38,69.17,72.11,76.65,73.73,4.1,-6.52,-9.17,5.72,14.44,5,FAVORABLE
XXCH,32.7,ALCISTA,62.82,"(2, 0, 1)",-1146.73,-1129.43,2.3619,37.5,26.39,32.17,36.61,42.04,51.31,72.07,14.66,-19.28,-27.32,9.88,24.92,5,FAVORABLE
UTHR,559.65,ALCISTA,58.05,"(1, 0, 0)",-5052.77,-5037.89,2.2397,586.92,497.4,547.73,585.08,621.61,684.17,67.67,4.87,-11.12,-14.74,73.88,186.78,5,FAVORABLE
TYO,13.67,ALCISTA,56.13,"(2, 0, 0)",-5830.21,-5810.36,1.1036,14.02,12.68,13.45,14.01,14.56,15.43,65.03,2.6,-7.2,-9.33,1.11,2.75,5,FAVORABLE
PULT,50.28,ALCISTA,55.45,"(2, 0, 0)",-7880.64,-7863.03,0.0403,50.91,50.76,50.85,50.91,50.97,51.07,100.0,1.25,0.95,0.87,0.12,0.31,4,FAVORABLE
JPST,50.45,ALCISTA,63.72,"(1, 0, 0)",-13672.09,-13657.21,0.0433,50.96,50.79,50.89,50.96,51.02,51.13,100.0,1.0,0.67,0.59,0.14,0.35,4,FAVORABLE
BAMU,25.24,ALCISTA,62.47,"(1, 0, 1)",-5391.59,-5375.31,0.0445,25.43,25.33,25.39,25.43,25.47,25.53,99.97,0.77,0.37,0.28,0.08,0.2,4,FAVORABLE
JMST,50.93,ALCISTA,61.02,"(1, 0, 0)",-12912.83,-12897.94,0.0477,51.27,51.04,51.18,51.28,51.37,51.5,99.37,0.68,0.22,0.1,0.19,0.46,4,FAVORABLE
FLUD,24.93,ALCISTA,55.53,"(1, 0, 1)",-12025.7,-12005.85,0.0988,25.22,25.01,25.13,25.22,25.3,25.44,98.7,1.14,0.32,0.1,0.17,0.42,4,FAVORABLE
USCI,96.63,ALCISTA,66.29,"(2, 0, 0)",-6383.61,-6363.76,1.1357,101.2,91.64,97.24,101.1,105.12,111.01,77.87,4.73,-5.16,-7.6,7.88,19.38,4,FAVORABLE
PBR,20.86,ALCISTA,69.83,"(1, 0, 0)",-4928.69,-4913.8,2.2618,22.84,18.55,20.99,22.72,24.53,27.47,76.87,9.48,-11.05,-15.23,3.55,8.91,4,FAVORABLE
NVT,117.41,ALCISTA,50.72,"(2, 0, 0)",-4966.02,-4946.17,2.6993,127.5,103.35,116.67,126.47,137.54,154.32,73.73,8.6,-11.98,-16.51,20.87,50.97,4,FAVORABLE
TBX,28.11,ALCISTA,56.87,"(2, 0, 0)",-7963.47,-7943.62,0.4288,28.54,27.45,28.07,28.54,28.99,29.69,73.67,1.54,-2.35,-3.23,0.92,2.24,4,FAVORABLE
GLW,146.5,ALCISTA,57.91,"(1, 0, 0)",-5135.93,-5121.04,4.2031,169.12,117.54,144.45,165.74,191.0,232.02,72.8,15.44,-19.77,-25.96,46.55,114.48,4,FAVORABLE
KLAC,1540.06,ALCISTA,56.46,"(1, 0, 0)",-4579.31,-4564.42,2.9093,1702.53,1310.27,1525.72,1682.64,1863.75,2148.54,72.7,10.55,-14.92,-20.12,338.03,838.27,4,FAVORABLE
ERX,97.73,ALCISTA,56.9,"(1, 0, 0)",-4227.03,-4212.15,2.9573,105.33,79.58,94.0,104.47,115.69,133.29,66.7,7.77,-18.57,-23.84,21.69,53.71,4,FAVORABLE
DBC,29.48,ALCISTA,66.29,"(1, 0, 0)",-6342.21,-6327.33,1.5423,30.49,26.9,28.88,30.39,31.99,34.49,65.9,3.43,-8.77,-11.57,3.11,7.59,4,FAVORABLE
AMAT,352.62,ALCISTA,51.79,"(1, 0, 0)",-4563.75,-4548.86,3.226,380.32,288.17,336.49,376.23,418.67,488.78,65.8,7.86,-18.28,-23.82,82.18,200.61,4,FAVORABLE
