Ticker,Score final,Señal final,Prob subir %,Ret esp %,VaR 5% 30d,CVaR 5% 30d,Vol GARCH d1 %
TBF,5,FAVORABLE,74.93,2.59,-3.25,-4.65,0.6814
FDL,5,FAVORABLE,73.93,3.02,-4.78,-6.51,0.7552
MO,5,FAVORABLE,73.73,4.1,-6.52,-9.17,1.2617
XXCH,5,FAVORABLE,72.07,14.66,-19.28,-27.32,2.3619
UTHR,5,FAVORABLE,67.67,4.87,-11.12,-14.74,2.2397
TYO,5,FAVORABLE,65.03,2.6,-7.2,-9.33,1.1036
PULT,4,FAVORABLE,100.0,1.25,0.95,0.87,0.0403
JPST,4,FAVORABLE,100.0,1.0,0.67,0.59,0.0433
BAMU,4,FAVORABLE,99.97,0.77,0.37,0.28,0.0445
JMST,4,FAVORABLE,99.37,0.68,0.22,0.1,0.0477
FLUD,4,FAVORABLE,98.7,1.14,0.32,0.1,0.0988
USCI,4,FAVORABLE,77.87,4.73,-5.16,-7.6,1.1357
PBR,4,FAVORABLE,76.87,9.48,-11.05,-15.23,2.2618
NVT,4,FAVORABLE,73.73,8.6,-11.98,-16.51,2.6993
TBX,4,FAVORABLE,73.67,1.54,-2.35,-3.23,0.4288
GLW,4,FAVORABLE,72.8,15.44,-19.77,-25.96,4.2031
KLAC,4,FAVORABLE,72.7,10.55,-14.92,-20.12,2.9093
ERX,4,FAVORABLE,66.7,7.77,-18.57,-23.84,2.9573
DBC,4,FAVORABLE,65.9,3.43,-8.77,-11.57,1.5423
AMAT,4,FAVORABLE,65.8,7.86,-18.28,-23.82,3.226
NORW,4,FAVORABLE,62.13,2.59,-9.82,-12.87,1.5298
WTIU,4,FAVORABLE,58.03,7.06,-26.18,-32.61,4.5353
GUSH,3,FAVORABLE,57.37,5.37,-24.68,-30.34,3.7546
JAZZ,3,FAVORABLE,54.1,1.6,-14.21,-17.48,1.7468
OILU,3,FAVORABLE,52.57,3.42,-29.94,-36.69,4.2753
MRAAY,2,ESPERAR,47.47,0.14,-19.9,-24.18,2.8459
YXI,2,ESPERAR,47.1,-0.2,-14.89,-18.59,1.7574
MSFD,2,ESPERAR,46.2,-0.46,-11.94,-14.33,1.4642
PFE,1,ESPERAR,37.23,-2.3,-14.8,-17.82,1.5666
